album,,count,words
The Life of Pablo,"my dick out, can she suck it right now?.",-0.8999999761581421,"my dick out, can she suck it right now?."
The Life of Pablo,"i guess i get what i deserve, don't i?. talked down on my name, throwed dirt on him. . .",-0.8999999761581421,"i guess i get what i deserve, don't i?. talked down on my name, throwed dirt on him. . ."
Watch the Throne,so the nigga that killed him had keys to his shit.,-0.8999999761581421,so the nigga that killed him had keys to his shit.
Watch the Throne,something on some of this realest shit.,-0.8999999761581421,something on some of this realest shit.
Watch the Throne,y'all don't know that don't shit faze me.,-0.8999999761581421,y'all don't know that don't shit faze me.
Watch the Throne,"shit gotta come some way, fuck.",-0.8999999761581421,"shit gotta come some way, fuck."
Watch the Throne,"shit feelin� like death, don�t it?.",-0.8999999761581421,"shit feelin� like death, don�t it?."
Watch the Throne,i�m done i'll hit you up ma�a...nah!. . .,-0.8999999761581421,i�m done i'll hit you up ma�a...nah!. . .
Watch the Throne,"rappers hear watch the throne, they gon' be pissed off.",-0.8999999761581421,"rappers hear watch the throne, they gon' be pissed off."
Watch the Throne,this shit weird.,-0.8999999761581421,this shit weird.
Watch the Throne,that's my bitch. . .,-0.8999999761581421,that's my bitch. . .
Watch the Throne,fuck that bitch; she don�t wanna dance.,-0.8999999761581421,fuck that bitch; she don�t wanna dance.
Watch the Throne,"yeah that's my bitch, that's my bitch.",-0.8999999761581421,"yeah that's my bitch, that's my bitch."
Watch the Throne,you will not control the threesome.,-0.800000011920929,you will not control the threesome.
Watch the Throne,and deception is the only felony.,-0.800000011920929,and deception is the only felony.
Watch the Throne,"who gon' act phony, or who gone try to embarrass ya?. i'mma need a day off, i think i'll call ferris up.",-0.800000011920929,"who gon' act phony, or who gone try to embarrass ya?. i'mma need a day off, i think i'll call ferris up."
Watch the Throne,where the fuck is the press?,-0.800000011920929,where the fuck is the press?
Yeezus,after that he's just hopeless.,-0.8999999761581421,after that he's just hopeless.
Yeezus,"yeezy season approachin'. fuck whatever y'all been hearin'. fuck what, fuck whatever y'all been wearin'. a monster about to come alive again.",-0.8999999761581421,"yeezy season approachin'. fuck whatever y'all been hearin'. fuck what, fuck whatever y'all been wearin'. a monster about to come alive again."
Yeezus,he only wanna see that ass in reverse.,-0.8999999761581421,he only wanna see that ass in reverse.
Yeezus,now what the fuck they gon' say now?. . .,-0.8999999761581421,now what the fuck they gon' say now?. . .
Yeezus,bitch you don't even know us.,-0.8999999761581421,bitch you don't even know us.
Yeezus,number one question they're askin'. fuck every question you askin' . if i don't get ran out by catholics .,-0.8999999761581421,number one question they're askin'. fuck every question you askin' . if i don't get ran out by catholics .
Yeezus,how much do i not give a fuck?. let me show you right now 'fore you give it up.,-0.8999999761581421,how much do i not give a fuck?. let me show you right now 'fore you give it up.
Yeezus,stop all that coon shit .,-0.8999999761581421,stop all that coon shit .
Yeezus,i would've been blacked out on your ass. . . god!.,-0.8999999761581421,i would've been blacked out on your ass. . . god!.
Yeezus,fuck you and your corporation.,-0.8999999761581421,fuck you and your corporation.
Yeezus,this that what-we-do-don't-tell-your-mom shit.,-0.8999999761581421,this that what-we-do-don't-tell-your-mom shit.
Yeezus,y'all niggas can't fuck with me.,-0.8999999761581421,y'all niggas can't fuck with me.
Yeezus,y'all niggas can't fuck with 'ye.,-0.8999999761581421,y'all niggas can't fuck with 'ye.
Yeezus,y'all 'bout to turn shit up.,-0.8999999761581421,y'all 'bout to turn shit up.
Yeezus,cause kissin' people ass is so unlike you.,-0.8999999761581421,cause kissin' people ass is so unlike you.
ye,ever embarrassed they girl .,-0.8999999761581421,ever embarrassed they girl .
ye,"damn, that ass bustin' out the bottom.",-0.8999999761581421,"damn, that ass bustin' out the bottom."
ye,"ayy, ayy, i'ma fuck around and make you my bitch. . . yeah, you supermodel thick.",-0.8999999761581421,"ayy, ayy, i'ma fuck around and make you my bitch. . . yeah, you supermodel thick."
ye,"all in the comments, you wanna vomit.",-0.8999999761581421,"all in the comments, you wanna vomit."
ye,"this is why your bitches fuck with me, huh.",-0.8999999761581421,"this is why your bitches fuck with me, huh."
ye,guarantee that bitch gonna leave you.,-0.8999999761581421,guarantee that bitch gonna leave you.
ye,"if you whoop her ass, she move in with him.",-0.8999999761581421,"if you whoop her ass, she move in with him."
ye,pay the fire marshal bill 'cause this shit done got way packed.,-0.8999999761581421,pay the fire marshal bill 'cause this shit done got way packed.
ye,"see, this is why all the bitches fuck with ye!. fuck what they talk about!sometimes i scare myself, myself.",-0.8999999761581421,"see, this is why all the bitches fuck with ye!. fuck what they talk about!sometimes i scare myself, myself."
ye,she told you not to do that shit .,-0.8999999761581421,she told you not to do that shit .
ye,she told you you's gon' fuck the money up.,-0.8999999761581421,she told you you's gon' fuck the money up.
ye,"that's what i'm talkin' 'bout!. that's why i fuck with ye!. see, that's my third per-. that's my bipolar shit, nigga, what?. that's my superpower, nigga, ain't no disability.",-0.8999999761581421,"that's what i'm talkin' 'bout!. that's why i fuck with ye!. see, that's my third per-. that's my bipolar shit, nigga, what?. that's my superpower, nigga, ain't no disability."
ye,"then he whoop her ass, you go through it again.",-0.8999999761581421,"then he whoop her ass, you go through it again."
ye,"too bold to type you, too rich to fight you.",-0.8999999761581421,"too bold to type you, too rich to fight you."
ye,"young nigga shit, nigga, we don't age.",-0.8999999761581421,"young nigga shit, nigga, we don't age."
